Time (s),Mean HR Fallers (bpm),SD HR Fallers (bpm),Mean HR Non-Fallers (bpm),SD HR Non-Fallers (bpm)
-1.099000000000000057e+02,6.508678598640319990e+01,1.062882491444670485e+01,6.759568527437417629e+01,1.275134084063818740e+01
-1.097999999999999972e+02,6.508790176317718590e+01,1.063011761669380917e+01,6.758516823631444481e+01,1.272030718034851304e+01
-1.097000000000000028e+02,6.508872353893744389e+01,1.063107294350314191e+01,6.757475261320364268e+01,1.269166476717485637e+01
-1.095999999999999943e+02,6.508926441682604036e+01,1.063157955276078326e+01,6.756449571894867745e+01,1.266550091018007684e+01
-1.095000000000000000e+02,6.508954108234856051e+01,1.063151717026602583e+01,6.755434022690246820e+01,1.264171123934883134e+01
-1.094000000000000057e+02,6.508958130785397600e+01,1.063076693623496460e+01,6.754413770907454762e+01,1.262000791420154400e+01
-1.092999999999999972e+02,6.508939599154059863e+01,1.062924405209307999e+01,6.753365740336293754e+01,1.259988708505208166e+01
-1.092000000000000028e+02,6.508897495139963496e+01,1.062694143831512328e+01,6.752266332283330996e+01,1.258079983216548570e+01
-1.090999999999999943e+02,6.508832454458402594e+01,1.062393069141094237e+01,6.751094974874824572e+01,1.256225661782423764e+01
-1.090000000000000000e+02,6.508746006586973465e+01,1.062031278477224383e+01,6.749840807008361310e+01,1.254392581180761290e+01
-1.089000000000000057e+02,6.508638295664842133e+01,1.061619021778806093e+01,6.748510241042558278e+01,1.252572360119802042e+01
-1.087999999999999972e+02,6.508508770128131005e+01,1.061166580273731697e+01,6.747117550168006517e+01,1.250765629373553267e+01
-1.087000000000000028e+02,6.508356720524787420e+01,1.060684090291394988e+01,6.745674740812421533e+01,1.248966303014922374e+01
-1.085999999999999943e+02,6.508181517210094569e+01,1.060181241399449803e+01,6.744191973432482712e+01,1.247159981913474169e+01
-1.085000000000000000e+02,6.507982198027846721e+01,1.059665480770940782e+01,6.742679077836923796e+01,1.245326282455755162e+01
-1.084000000000000057e+02,6.507756433035378052e+01,1.059140791803039683e+01,6.741144084570419182e+01,1.243447218675768795e+01
-1.082999999999999972e+02,6.507501044876849505e+01,1.058609564448666696e+01,6.739593231247822303e+01,1.241517018116600113e+01
-1.082000000000000028e+02,6.507213076365694349e+01,1.058073862095546502e+01,6.738033878879717520e+01,1.239538235589804671e+01
-1.080999999999999943e+02,6.506891373009241875e+01,1.057534543366515045e+01,6.736475772186615529e+01,1.237514634265335545e+01
-1.080000000000000000e+02,6.506537411110808478e+01,1.056992172280647146e+01,6.734928696575425988e+01,1.235449379006682946e+01
-1.079000000000000057e+02,6.506154043779498863e+01,1.056449479432074767e+01,6.733398362688716077e+01,1.233343270510926004e+01
-1.077999999999999972e+02,6.505746015581893005e+01,1.055912368124698197e+01,6.731885947510164669e+01,1.231195671093539268e+01
-1.077000000000000028e+02,6.505319811048309475e+01,1.055389727351099260e+01,6.730391283754001108e+01,1.229006623822610855e+01
-1.075999999999999943e+02,6.504880413707293485e+01,1.054892194942724259e+01,6.728914719955334078e+01,1.226777491383760399e+01
-1.075000000000000000e+02,6.504430309628529017e+01,1.054430966049228147e+01,6.727456275884807724e+01,1.224509669573988013e+01
-1.074000000000000057e+02,6.503971146750799903e+01,1.054017451738983446e+01,6.726013074087714472e+01,1.222202775781855166e+01
-1.072999999999999972e+02,6.503504564068541072e+01,1.053663110824115456e+01,6.724579170202564171e+01,1.219858355277223261e+01
-1.072000000000000028e+02,6.503031781506010134e+01,1.053379438610049412e+01,6.723145149448150448e+01,1.217476434585630685e+01
-1.070999999999999943e+02,6.502552406117351325e+01,1.053177382987886546e+01,6.721696387058621269e+01,1.215043178627488274e+01
-1.070000000000000000e+02,6.502064374276866943e+01,1.053064450804318319e+01,6.720219675451309627e+01,1.212538417322544504e+01
-1.069000000000000057e+02,6.501566139153212021e+01,1.053041094070425743e+01,6.718711119486029304e+01,1.209948148090662556e+01
-1.067999999999999972e+02,6.501058714683507844e+01,1.053100735615105066e+01,6.717174666487127865e+01,1.207261494570296279e+01
-1.067000000000000028e+02,6.500546668446921217e+01,1.053232718266689716e+01,6.715616768360830235e+01,1.204467540712784590e+01
-1.065999999999999943e+02,6.500038107634760820e+01,1.053424863138080347e+01,6.714050291362141820e+01,1.201574308623835208e+01
-1.065000000000000000e+02,6.499543138766127015e+01,1.053664551924624249e+01,6.712502726893154659e+01,1.198627430768820545e+01
-1.064000000000000057e+02,6.499071734908942233e+01,1.053937919591774452e+01,6.711010479848721388e+01,1.195695653284945692e+01
