Time (s),Mean SBP (mmHg),SD SBP (mmHg)
-1.034000000000000057e+02,1.174864653233836833e+02,1.842585406291825834e+01
-1.032999999999999972e+02,1.174353574927383193e+02,1.825024984616898038e+01
-1.032000000000000028e+02,1.173760412000820708e+02,1.808165879027765754e+01
-1.030999999999999943e+02,1.173171977626247013e+02,1.791368859643241862e+01
-1.030000000000000000e+02,1.173766043192315749e+02,1.780341306563474646e+01
-1.029000000000000057e+02,1.175575276929747304e+02,1.781637932388624179e+01
-1.027999999999999972e+02,1.178637485403998824e+02,1.767059654159860926e+01
-1.027000000000000028e+02,1.181916303756521245e+02,1.758245525201267867e+01
-1.025999999999999943e+02,1.185019563486653311e+02,1.756184538753447200e+01
-1.025000000000000000e+02,1.188091723945018714e+02,1.761269682133165659e+01
-1.024000000000000057e+02,1.186631656483070429e+02,1.702884906239989959e+01
-1.022999999999999972e+02,1.184488113532485727e+02,1.658408826424868820e+01
-1.022000000000000028e+02,1.181797676906814161e+02,1.634971232655976436e+01
-1.020999999999999943e+02,1.178905886611494225e+02,1.632525522232567639e+01
-1.020000000000000000e+02,1.177885099933610604e+02,1.643458334926358688e+01
-1.019000000000000057e+02,1.181089392416824779e+02,1.654893395550665858e+01
-1.017999999999999972e+02,1.183762132821112516e+02,1.676597806615031772e+01
-1.017000000000000028e+02,1.186154155799557230e+02,1.708334453009903342e+01
-1.015999999999999943e+02,1.188620841658012210e+02,1.752949341493797419e+01
-1.015000000000000000e+02,1.190793442240253341e+02,1.810553606929314441e+01
-1.014000000000000057e+02,1.192979641935215511e+02,1.877735631771720648e+01
-1.012999999999999972e+02,1.193621473535843478e+02,1.913837488619558513e+01
-1.012000000000000028e+02,1.193251178540912321e+02,1.920329995607510654e+01
-1.010999999999999943e+02,1.193158382145929153e+02,1.927893833952716562e+01
-1.010000000000000000e+02,1.192970544621424693e+02,1.936556439354348313e+01
-1.009000000000000057e+02,1.192073420315209091e+02,1.941821986762107954e+01
-1.007999999999999972e+02,1.190617978686388625e+02,1.939791306700727702e+01
-1.007000000000000028e+02,1.189461450461845544e+02,1.933518851703270514e+01
-1.005999999999999943e+02,1.188651064196722729e+02,1.925035027297166579e+01
-1.005000000000000000e+02,1.188007656370496790e+02,1.918132247235941890e+01
-1.004000000000000057e+02,1.187355723001207508e+02,1.911686522212162131e+01
-1.002999999999999972e+02,1.186741205943055917e+02,1.904448817514294134e+01
-1.002000000000000028e+02,1.185537500309117149e+02,1.877640532408528529e+01
-1.000999999999999943e+02,1.183672170565850905e+02,1.840902472781490928e+01
-1.000000000000000000e+02,1.181923592935847012e+02,1.804683975520657668e+01
-9.990000000000000568e+01,1.180197443333503173e+02,1.772269100944265219e+01
-9.979999999999999716e+01,1.178733997070606421e+02,1.747154177242675388e+01
-9.970000000000000284e+01,1.177406180158401270e+02,1.725760431872812006e+01
-9.959999999999999432e+01,1.176598994826419897e+02,1.714777045406878742e+01
-9.950000000000000000e+01,1.177073873958070322e+02,1.717383886492881118e+01
-9.940000000000000568e+01,1.177615083200255697e+02,1.720760563264819609e+01
-9.929999999999999716e+01,1.178053605679434384e+02,1.724798745413816192e+01
-9.920000000000000284e+01,1.178395361002992132e+02,1.728494036266301848e+01
-9.909999999999999432e+01,1.178545140955659321e+02,1.735513825779802843e+01
-9.900000000000000000e+01,1.178246318507834189e+02,1.744021837794487340e+01
-9.890000000000000568e+01,1.177560301838695977e+02,1.750022879992752678e+01
