Time (s),Mean DBP Fallers (mmHg),SD DBP Fallers (mmHg),Mean DBP Non-Fallers (mmHg),SD DBP Non-Fallers (mmHg)
-1.057000000000000028e+02,5.911168935947117831e+01,7.012199596635958265e+00,6.377229659241089621e+01,1.151612078180845877e+01
-1.055999999999999943e+02,5.911775932517736720e+01,7.038409649118337441e+00,6.370493720523432302e+01,1.146572285514629463e+01
-1.055000000000000000e+02,5.912264804861553102e+01,7.068600387569659027e+00,6.364778866469774954e+01,1.143267365170950889e+01
-1.054000000000000057e+02,5.912102559645617816e+01,7.095760173194052278e+00,6.360187101655105835e+01,1.141814705024174614e+01
-1.052999999999999972e+02,5.912393247537426078e+01,7.128647775460724034e+00,6.356246519164805164e+01,1.142020031716125494e+01
-1.052000000000000028e+02,5.912143739218745964e+01,7.154441806413958105e+00,6.352766315914446693e+01,1.142989943890458093e+01
-1.050999999999999943e+02,5.914157446632905391e+01,7.176361906736193674e+00,6.349227480315458649e+01,1.145581344327238504e+01
-1.050000000000000000e+02,5.917792172263780515e+01,7.193095055030073404e+00,6.344485548748627224e+01,1.149779421656345946e+01
-1.049000000000000057e+02,5.921173676188062274e+01,7.213818246755876018e+00,6.340350208318262304e+01,1.157659340886602450e+01
-1.047999999999999972e+02,5.924005736368238928e+01,7.230301286748780143e+00,6.336695818815263692e+01,1.167322829913540083e+01
-1.047000000000000028e+02,5.927751037873530038e+01,7.232796282444073022e+00,6.334087737320484024e+01,1.176081836458403274e+01
-1.045999999999999943e+02,5.931302617448574210e+01,7.235980728156755859e+00,6.328798084617588415e+01,1.180882499240879646e+01
-1.045000000000000000e+02,5.934327080526568921e+01,7.249594147515313836e+00,6.331091516212351422e+01,1.176981325069036011e+01
-1.044000000000000057e+02,5.937064356940810939e+01,7.265287434088191887e+00,6.333391010295625989e+01,1.168313306500186499e+01
-1.042999999999999972e+02,5.939648602218237983e+01,7.288391305796305453e+00,6.336992714586543229e+01,1.160871532918885407e+01
