Time (s),Mean SBP Fallers (mmHg),SD SBP Fallers (mmHg),Mean SBP Non-Fallers (mmHg),SD SBP Non-Fallers (mmHg)
-1.052999999999999972e+02,1.155321829835686316e+02,1.654875770996181572e+01,1.232546545975715873e+02,2.107128967635767580e+01
-1.052000000000000028e+02,1.155727314485852730e+02,1.664239176702849576e+01,1.232692967148783936e+02,2.096522414589257366e+01
-1.050999999999999943e+02,1.156193363953757398e+02,1.675851499882919171e+01,1.232944386563625727e+02,2.087942910512903083e+01
-1.050000000000000000e+02,1.156693636658231981e+02,1.687967630872865143e+01,1.232756746904550198e+02,2.079316160688852122e+01
-1.049000000000000057e+02,1.157347901837606940e+02,1.700310441433683195e+01,1.232455182680459984e+02,2.071300635881592456e+01
-1.047999999999999972e+02,1.157809967707239593e+02,1.708906048976178127e+01,1.231768073251034821e+02,2.060232009334815118e+01
-1.047000000000000028e+02,1.157784932950414429e+02,1.722058821980907695e+01,1.230971067772773182e+02,2.051005888748290573e+01
-1.045999999999999943e+02,1.157728491719439887e+02,1.734626404592273019e+01,1.230216176197654221e+02,2.043258950321733636e+01
-1.045000000000000000e+02,1.157520801832502855e+02,1.745472553127645554e+01,1.229571649117694108e+02,2.036645783285503697e+01
-1.044000000000000057e+02,1.157204600874909204e+02,1.756167667432072932e+01,1.229017962516756626e+02,2.029602047206175186e+01
-1.042999999999999972e+02,1.156748474456034046e+02,1.767352650496460953e+01,1.227658962311226958e+02,2.026219834062139924e+01
-1.042000000000000028e+02,1.156094667905848183e+02,1.775735377349734634e+01,1.227025035140258780e+02,2.026072192277910133e+01
-1.040999999999999943e+02,1.155217738843209077e+02,1.781893689524212832e+01,1.226757451813183479e+02,2.026621947290846748e+01
-1.040000000000000000e+02,1.154325013932679695e+02,1.788357713491192058e+01,1.226653969084537721e+02,2.026231160473856718e+01
-1.039000000000000057e+02,1.153408270616211837e+02,1.794072180195901112e+01,1.227058106804967252e+02,2.029314585217146316e+01
-1.037999999999999972e+02,1.152932328082514886e+02,1.797876916485600418e+01,1.227929569661667415e+02,2.025834858335032607e+01
-1.037000000000000028e+02,1.152444135880144245e+02,1.802443056961062595e+01,1.228939923901242537e+02,2.023676301093810537e+01
-1.035999999999999943e+02,1.152306267639387869e+02,1.805322288400304487e+01,1.229801955695943292e+02,2.022784844943622318e+01
-1.035000000000000000e+02,1.152726524134252770e+02,1.797713340753987765e+01,1.229564242266305456e+02,2.011603601530089591e+01
-1.034000000000000057e+02,1.153212539357444371e+02,1.788299181183956321e+01,1.229263464118521085e+02,2.000297174836654790e+01
-1.032999999999999972e+02,1.153520994993180580e+02,1.778373703586444421e+01,1.229384381722892670e+02,1.990412686084961535e+01
-1.032000000000000028e+02,1.153633316776555375e+02,1.767190346311879168e+01,1.229371190482264211e+02,1.981267240139041164e+01
-1.030999999999999943e+02,1.153904204830579090e+02,1.756665943638274996e+01,1.228786205863401619e+02,1.971774785523583162e+01
-1.030000000000000000e+02,1.154277105235823058e+02,1.746477307933547252e+01,1.228435945207392450e+02,1.964603636251733931e+01
-1.029000000000000057e+02,1.154511626920904206e+02,1.738293975406730141e+01,1.228664153463422934e+02,1.960800302324554778e+01
-1.027999999999999972e+02,1.154846032863014642e+02,1.732480486777976481e+01,1.229294638554207637e+02,1.950285634511371669e+01
-1.027000000000000028e+02,1.155228572581226416e+02,1.727224826242577294e+01,1.229909447202516901e+02,1.943099705957694567e+01
-1.025999999999999943e+02,1.155603868393192357e+02,1.721425096424873047e+01,1.230610205592495703e+02,1.939622663224629662e+01
-1.025000000000000000e+02,1.155867796834591843e+02,1.715659517616107266e+01,1.231697438995376501e+02,1.939394454206912144e+01
-1.024000000000000057e+02,1.155301005337683193e+02,1.711356614571874957e+01,1.230971719972653773e+02,1.919170404570614252e+01
-1.022999999999999972e+02,1.154296340316806351e+02,1.709653650024617377e+01,1.230026337770067499e+02,1.906339552388676495e+01
